,Id,FPYear,EDegree,GMSalary,GLArea,HChildren,CMValue,CRate,PMotor,PHousehold,PHealth,PLife,PCompensations
0,1,1985.0,2 - High School,4354.0,1.0,1.0,380.97,0.39003245387343,375.85,79.45,146.36,47.01,16.89
1,2,1981.0,2 - High School,1353.0,4.0,1.0,-131.13,1.11650346886801,77.46,416.2,116.69,194.48,106.13
2,3,1991.0,1 - Basic,4554.0,3.0,0.0,504.67,0.284809613826627,206.15,224.5,124.58,86.35,99.02
3,4,1990.0,3 - BSc/MSc,2197.0,4.0,1.0,-16.9899999999999,0.986665112872078,182.48,43.35,311.17,35.34,28.34
4,5,1986.0,3 - BSc/MSc,3526.0,4.0,1.0,35.23,0.904281355285741,338.62,47.8,182.59,18.78,41.45
5,6,1986.0,2 - High School,5132.0,4.0,1.0,-24.33,0.998862710483433,440.75,18.9,114.8,7.0,7.67
6,7,1979.0,2 - High School,8205.0,4.0,0.0,-66.01,1.05053728989008,156.92,295.6,317.95,14.67,26.34
7,8,1988.0,2 - High School,3485.0,4.0,1.0,-144.91,1.13179240305988,248.27,397.3,144.36,66.68,53.23
8,9,1981.0,3 - BSc/MSc,3723.0,1.0,1.0,356.53,0.355055192115895,344.51,18.35,210.04,8.78,9.89
9,10,1976.0,3 - BSc/MSc,7684.0,1.0,0.0,-119.35,1.12450514647664,209.26,182.25,271.94,39.23,55.12
10,11,1990.0,3 - BSc/MSc,7990.0,4.0,0.0,290.17,0.52992676778976,296.5,116.7,227.71,18.67,10.89
11,12,1985.0,3 - BSc/MSc,5667.0,3.0,1.0,405.74,0.455007844526545,249.49,216.7,252.38,36.34,35.45
12,13,1981.0,3 - BSc/MSc,7513.0,1.0,0.0,2.34000000000003,0.968284534360354,206.04,340.05,257.05,43.12,15.78
13,14,1983.0,1 - Basic,2086.0,3.0,1.0,-75.1199999999999,1.05713113259165,44.34,342.85,127.69,267.94,94.46
14,15,1983.0,2 - High School,3961.0,1.0,1.0,-89.0,1.1196261682243,504.43,-70.0,72.79,10.89,16.89
15,16,1988.0,3 - BSc/MSc,1947.0,4.0,1.0,290.06,0.534017630006508,318.06,93.9,247.49,-3.0,19.67
16,17,1991.0,2 - High School,4873.0,1.0,1.0,100.58,0.885720005824112,119.8,647.35,168.92,125.58,37.23
17,18,1981.0,3 - BSc/MSc,5456.0,4.0,1.0,78.91,0.84542722837082,446.64,107.8,86.35,3.89,27.56
18,19,1981.0,1 - Basic,2827.0,3.0,1.0,230.38,0.71488858125307,313.17,373.4,121.8,14.78,72.57
19,20,1988.0,4 - PhD,5501.0,1.0,1.0,352.96,0.362157418658026,402.41,9.45,125.69,24.45,30.56
20,21,1986.0,4 - PhD,3408.0,4.0,1.0,373.73,0.390321100917431,329.84,65.0,221.93,3.89,33.34
22,23,1976.0,2 - High School,2989.0,1.0,1.0,-89.7900000000001,1.07804519610677,209.04,308.95,192.48,64.79,54.9
23,24,1998.0,2 - High School,5740.0,4.0,1.0,290.05,0.642593790060012,222.04,329.5,248.38,48.01,33.56
24,25,1988.0,3 - BSc/MSc,6401.0,4.0,0.0,108.13,0.811077368450928,420.3,128.35,135.58,15.67,4.78
25,26,1974.0,4 - PhD,7551.0,2.0,0.0,376.3,0.40558715487617,383.74,103.9,154.14,17.56,15.78
26,27,1978.0,4 - PhD,8562.0,3.0,0.0,430.86,0.384172700745704,330.84,162.8,228.82,-5.0,22.78
